lat,lng,orders
-11.9782078,-76.9997711,1
-12.0062854,-77.0603222,20
-12.098151,-77.036031,4
-12.08414,-77.051409,1
-12.05664442959,-76.97082358532,1
-12.016674,-76.994403,1
-12.128042,-76.985796,2
-11.994755,-77.061281,1
-12.110809887436,-77.042973271164,4
-12.055087549601,-76.970899221859,1
-12.053905922573,-76.964050737901,5
-12.109433,-77.037901,5
-12.091755,-76.995762,1
-12.130137,-76.981423,5
-12.121324806177,-77.034725421528,1
-12.1995771,-77.0116684,1
-11.936803391541,-77.065171602519,5
-12.056963,-77.102062,2
-12.0913353,-77.0393861,1
-12.1212096,-77.0335303,1
-12.041451927707,-76.931556939812,1
-12.111672,-77.048637,1
-12.1339852,-77.0266617,1
-12.172109630822,-76.993023648349,1
-11.931392907342,-77.044387727663,12
-12.015665,-77.052228,2
-12.1115079,-76.9919723,1
-12.120552522343,-77.003901997431,1
-12.113683063912,-77.046659201223,1
-12.128599,-76.99512,2
-12.02683,-77.003824,1
-12.106662,-77.040012,1
-12.072778502767,-76.948040276133,1
-12.093774888674,-77.034675457672,2
-12.0772554,-77.0797366,1
-12.107004,-77.036723,2
-12.14026,-76.9988566,2
-12.11712,-77.02666,2
-12.1179189,-77.022704,3
-12.031668272708,-77.011884501578,2
-12.076352151212,-77.083698120653,2
-11.990186296749,-77.063061893052,2
-12.167504833461,-77.025134694683,1
-12.121435,-77.034731,1
-12.075106,-77.092554,1
-12.018101170761,-77.099467084876,2
-12.122579,-77.032165,3
-12.070989,-76.941933,1
-12.173134,-77.0145583,1
-12.114643,-76.999288,3
-12.083052828142,-77.042657826557,1
-12.091067,-77.003805,1
-12.078447,-77.079696,1
-12.006200942798,-76.843809986553,1
-12.06298,-76.951193,1
-12.0249857,-76.9031353,2
-12.088098047432,-77.046121023595,1
-12.119334,-76.98872,4
-12.109409,-77.020467,1
-12.109631,-77.037471,1
-11.99530695504,-77.077065776009,1
-12.109969,-77.0488539,2
-12.10984,-76.974892,2
-11.936629837469,-77.064801365283,2
-12.097957,-77.013735,2
-12.1138746,-77.0233442,2
-12.0654107,-76.953666,1
-12.113021,-77.040607,1
-12.090456,-77.057463,5
-12.12305,-77.03211,2
-12.09204089,-77.02917757,2
-12.124816,-76.999751,3
-12.107729837239,-77.037228332039,1
-12.08259,-77.089122,1
-12.1223686,-77.034932,2
-12.128537851638,-77.029851392231,1
-12.088862718898,-77.071545829535,2
-12.09148,-76.95301,3
-12.111784521111,-77.012367093254,1
-12.078799,-77.07832,1
-12.091321,-76.951234,1
-12.101215362549,-76.971000671387,3
-12.091007,-77.047876,4
-12.125218,-76.983017,3
-12.1107738,-76.9902449,1
-12.167321,-76.97832,1
-12.071858312721,-76.954860420165,3
-12.0914295,-76.9505042,2
-12.094951603211,-77.058411852882,1
-12.0846694,-77.0692988,2
-12.09791343302,-76.994756572069,1
-11.8518231,-77.1242288,1
-12.086740454479,-76.976547202666,1
-12.126688,-77.014342,2
-12.083868,-76.927702,3
-12.110035,-77.0259349,6
-11.9220232,-77.0772603,1
-12.0140602,-76.9973614,3
-12.119345,-77.032644,1
-12.107723530685,-76.974462624099,1
-12.148283322054,-77.02114087317,1
-12.056884776498,-76.970720742329,2
-12.090351,-77.052511,1
-12.129683,-77.024344,1
-12.0760883,-77.0359167,1
-12.07860126931,-77.087547256449,2
-12.077871,-77.065189,2
-12.070219038495,-77.07770883823,1
-11.940186,-77.06982,1
-12.05629704013,-77.037295055803,1
-12.102808,-76.946269,1
-12.090496,-77.052261,2
-12.102362,-77.0242847,1
-12.1161352,-77.0418482,1
-12.041377304383,-76.935937395367,5
-12.131935941063,-77.030629571593,1
-12.111153,-76.986044,3
-12.041827395914,-76.931770012093,2
-12.1295166,-77.0222855,1
-12.096514,-77.00253,1
-12.091604,-77.04154,1
-12.110772,-76.989947,1
-12.007242003281,-77.055811460916,3
-12.1512492,-77.021838,1
-12.1091948,-76.9883593,1
-12.0205913,-76.8788191,1
-12.108940621297,-77.019996641411,1
-12.127226,-77.010913,1
-12.087278,-76.995701,1
-12.1028324,-77.0258541,2
-12.142670534955,-77.017868353698,1
-11.936509479883,-77.064911428462,1
-12.083414944,-76.993050804,1
-12.122762147,-77.026882415,2
-12.1410662,-77.0220687,1
-12.0182212,-76.8838721,1
-12.144747,-77.021921,1
-12.1199494,-77.0271626,1
