saturation,avg_time_before,avg_time_after,time_improvement,unassigned_before,unassigned_after,unassigned_improvement
0.8,2.8648942620593143,2.2333079289104303,22.045711826547258,2,2,0.0
0.8,4.95561236228827,3.37865435428233,31.82165780371438,5,10,-100.0
0.8,8.494377871074125,7.381477869337102,13.101606952603055,0,0,NaN
0.8,8.991060803870134,8.047990639827175,10.488975490378419,2,2,0.0
0.8,8.198414837279412,6.776315500786288,17.346028039794064,5,5,0.0
0.8,6.585062927922782,5.350817797209499,18.74310305342243,3,5,-66.66666666666667
0.8,6.915606571810009,5.337355096849096,22.821591404495408,6,8,-33.333333333333336
0.8,6.043567512163526,4.915654220896002,18.663037833157993,19,19,0.0
0.8,7.91676135735788,7.088351711028034,10.463996689251191,16,15,6.25
0.8,8.565979543638788,7.772103371767368,9.267780384334007,6,7,-16.666666666666668
0.8,5.79131590579871,4.56618434289248,21.1546319149942,16,17,-6.25
0.8,3.875783849619445,2.906002239902471,25.021560730539573,2,3,-50.0
0.8,5.049596674162625,3.6714254533592556,27.292698996240354,0,0,NaN
0.8,3.452415854960777,2.7020431540992753,21.73471367255167,4,4,0.0
0.8,3.4172606693595164,2.9454399844066144,13.80698549523685,3,3,0.0
0.8,4.676866698445406,3.7720464180894613,19.3467194747438,7,9,-28.571428571428573
0.8,4.803610601900711,3.345683153844264,30.350658470933695,3,6,-100.0
0.8,6.637621289156278,5.699689373136716,14.130542782726067,1,2,-100.0
0.8,6.967585186512075,5.085402336286459,27.013417128636835,11,13,-18.181818181818183
0.8,6.919460874135671,4.448701293845464,35.70740011733698,4,7,-75.0
