saturation,avg_time_before,avg_time_after,time_improvement,unassigned_before,unassigned_after,unassigned_improvement
1.0,2.1777829759462315,1.5300979190304689,29.740569380396963,2,3,-50.0
1.0,3.5531239227533176,3.0530034252691753,14.075515190491824,13,14,-7.6923076923076925
1.0,4.022492253860287,3.2595003682348986,18.968138096304944,0,0,NaN
1.0,3.1734764366956085,2.2522384378057976,29.029300115083025,0,0,NaN
1.0,4.177487015492139,3.1223690527639243,25.257240987592017,2,2,0.0
1.0,4.534659226476718,3.22450690131248,28.89196871761813,3,4,-33.333333333333336
1.0,4.248919755339547,2.537850237951891,40.270695045190806,0,0,NaN
1.0,3.796056650703261,2.6428237364669296,30.379760376407514,2,2,0.0
1.0,4.468995435161131,3.22107911637847,27.923866490538646,2,2,0.0
1.0,3.280615435359199,2.5888750059737493,21.08569087158825,5,5,0.0
1.0,3.2066285095162446,2.2448880043331467,29.992264533573522,0,0,NaN
1.0,2.5468732087062693,1.7695532361345,30.520560266391236,4,4,0.0
1.0,2.655871803235434,1.877401854634103,29.311277285785557,0,0,NaN
1.0,2.9305166876669713,2.411860633794238,17.69845079045236,3,3,0.0
1.0,2.43730981917942,1.8145285549433754,25.55199422475223,1,1,0.0
1.0,3.667111272308935,2.858913965713841,22.039072353706523,5,5,0.0
1.0,3.1895474969804454,2.26843045173227,28.879239018080135,0,0,NaN
1.0,4.36294759472518,3.321533049892401,23.869517619048494,0,0,NaN
1.0,3.5324858997933917,2.436329271975062,31.03074319086289,1,1,0.0
1.0,3.55749109981804,2.760064493666095,22.415420974425825,2,2,0.0
