hexagonID,orders,couriers,capacity,demand_observations,neighbors,fleet_size,pool_benefit,is_hub,fleet_pool,required_fleet,is_receiver,is_provider,is_balanced
888e62c0e7fffff,4,2,-2,"[2, 1, 2, 4, 2, 4, 5, 3, 5, 2]","[""888e62c0e7fffff"", ""888e62c0e5fffff"", ""888e62c1dbfffff"", ""888e62c0adfffff"", ""888e62c0a9fffff"", ""888e62c0e3fffff"", ""888e62c0e1fffff""]","Main.Models.FleetSize(Distributions.Poisson{Float64}(λ=4.282686539480766), 4, 0)",0.4795702728155393,true,"Dict{Symbol, Real}(:safety_fleet => 0)",4,true,false,false
888e62c707fffff,11,11,0,"[16, 6, 11, 9, 8, 10, 8, 9, 12, 15]",String[],"Main.Models.FleetSize(Distributions.Poisson{Float64}(λ=12.601340699500536), 12, 0)",0.3928359505382013,false,"Dict{Symbol, Real}()",12,true,false,false
888e62c1d5fffff,11,6,-5,"[4, 14, 12, 12, 11, 7, 9, 17, 10, 10]","[""888e62c1d5fffff"", ""888e62c1c3fffff"", ""888e62c189fffff"", ""888e62c18bfffff"", ""888e62c1d7fffff"", ""888e62c1d1fffff"", ""888e62c1ddfffff""]","Main.Models.FleetSize(Distributions.Poisson{Float64}(λ=8.678411476682554), 13, 0)",0.4447231189567139,true,"Dict{Symbol, Real}(:safety_fleet => 1)",14,true,false,false
888e62c095fffff,2,2,0,"[0, 1, 0, 2, 2, 1, 1, 0, 2, 0]",String[],"Main.Models.FleetSize(Distributions.Poisson{Float64}(λ=0.4115373097378334), 2, 0)",0.5941482282047371,false,"Dict{Symbol, Real}()",2,true,false,false
888e62c085fffff,1,2,1,"[1, 2, 3, 1, 0, 0, 4, 1, 1, 1]",String[],"Main.Models.FleetSize(Distributions.Poisson{Float64}(λ=2.3489621121835578), 2, 0)",0.5464655422659321,false,"Dict{Symbol, Real}()",1,true,false,false
888e62c50dfffff,1,7,6,"[1, 3, 0, 2, 0, 1, 1, 1, 1, 2]",String[],"Main.Models.FleetSize(Distributions.Poisson{Float64}(λ=2.0961585048176956), 2, 0)",0.549597004041923,false,"Dict{Symbol, Real}()",-4,false,true,false
888e62c1d3fffff,12,12,0,"[13, 10, 11, 10, 11, 13, 14, 7, 15, 13]",String[],"Main.Models.FleetSize(Distributions.Poisson{Float64}(λ=9.676218773917968), 14, 0)",0.4456190669661457,false,"Dict{Symbol, Real}()",14,true,false,false
888e62c0b1fffff,36,9,-27,"[46, 33, 36, 35, 29, 30, 28, 34, 36, 37]",String[],"Main.Models.FleetSize(Distributions.Poisson{Float64}(λ=30.860430441224583), 38, 28)",0.5511256077924711,false,"Dict{Symbol, Real}()",66,true,false,false
888e62c1ddfffff,2,4,2,"[3, 1, 1, 4, 2, 0, 2, 0, 2, 3]",String[],"Main.Models.FleetSize(Distributions.Poisson{Float64}(λ=1.0667940780399527), 3, 0)",0.4447231189567139,false,"Dict{Symbol, Real}()",1,true,false,false
888e62c0b3fffff,16,10,-6,"[17, 21, 13, 17, 18, 15, 14, 17, 12, 17]",String[],"Main.Models.FleetSize(Distributions.Poisson{Float64}(λ=18.7879506629589), 18, 3)",0.5933258822097152,false,"Dict{Symbol, Real}()",21,true,false,false
888e62c223fffff,3,8,5,"[5, 3, 1, 5, 1, 5, 6, 3, 2, 1]","[""888e62c223fffff"", ""888e62c221fffff"", ""888e62c227fffff"", ""888e62c049fffff"", ""888e62c235fffff"", ""888e62c23dfffff"", ""888e62c22bfffff""]","Main.Models.FleetSize(Distributions.Poisson{Float64}(λ=4.517445207942047), 4, 0)",0.41500524205897504,true,"Dict{Symbol, Real}(:safety_fleet => 0)",-1,false,true,false
